concatenationXY,time
6893.6765,0.0
6894.6765,0.0
6895.6765,0.0
6896.6765,0.0
6897.6765,0.0
6898.6765,0.0
6899.6765,0.0
6900.6765,0.0
6901.6765,0.0
6902.6765,0.0
6903.6765,0.0
6904.6765,0.0
6905.6765,0.0
6906.6765,0.0
6907.6765,0.0
6908.6765,0.0009999275207519531
6909.6765,0.0
6910.6765,0.0
6911.6765,0.0
6912.6765,0.0
6913.6765,0.0
6914.6765,0.0
6915.6765,0.0
6916.6765,0.0
6917.6765,0.0
6918.6765,0.0
6919.6765,0.0
6920.6765,0.0
6921.6765,0.0
6922.6765,0.0
6923.6765,0.0
6924.6765,0.0
6925.6765,0.0
6926.6765,0.0
6927.6765,0.0
6928.6765,0.0
6929.6765,0.0
6930.6765,0.0
6931.6765,0.0
6932.6765,0.0
6933.6765,0.0
6934.6765,0.0
6935.6765,0.0
6936.6765,0.0
6937.6765,0.0
6938.6765,0.0
6939.6765,0.0
6940.6765,0.0
6941.6765,0.0
6942.6765,0.0
6943.6765,0.0
6944.6765,0.0
6945.6765,0.0
6946.6765,0.0
6947.6765,0.0
6948.6765,0.0
6949.6765,0.0
6950.6765,0.0
6951.6765,0.0
6952.6765,0.0
6953.6765,0.0009875297546386719
6954.6765,0.0
6955.6765,0.0
6956.6765,0.0
6957.6765,0.0
6958.6765,0.0
6959.6765,0.0
6960.6765,0.0
6961.6765,0.0
6962.6765,0.0
6963.6765,0.0
6964.6765,0.0
6965.6765,0.0
6966.6765,0.0
6967.6765,0.0
6968.6765,0.0
6969.6765,0.0
6970.6765,0.0
6971.6765,0.0
6972.6765,0.0
6973.6765,0.0
6974.6765,0.0
6975.6765,0.0
6976.6765,0.0
6977.6765,0.0
6978.6765,0.0
6979.6765,0.0
6980.6765,0.0
6981.6765,0.0
6982.6765,0.0
6983.6765,0.0
6984.6765,0.0
6985.6765,0.0
6986.6765,0.0
6987.6765,0.0
6988.6765,0.0
6989.6765,0.0
6990.6765,0.0
6991.6765,0.0
6992.6765,0.0
6993.6765,0.0
6994.6765,0.0
6995.6765,0.0
6996.6765,0.0
